Frequency_Hz	Magnitude_Ohms	Phase_Degrees
30.03566	0.4700206	5.002259
30.8313	1.157157	5.383417
31.62695	1.055443	5.57405
32.4226	1.052525	6.143508
33.21824	1.093687	6.356966
34.01389	1.056247	6.593983
34.80953	1.306234	6.612887
35.60518	1.218018	6.992114
36.40083	1.217836	8.036274
37.19647	1.66788	8.807474
37.99212	1.864549	8.942259
38.78777	1.733231	9.502369
39.58341	2.069727	10.68478
40.37906	2.749744	11.57981
41.17471	3.351793	12.19544
41.97035	3.759278	13.27583
42.766	4.62481	14.55603
43.56165	5.628945	15.95769
44.35729	6.87292	18.05359
45.15294	9.421513	20.59793
45.94859	13.85743	23.07312
46.74423	19.69771	24.99527
47.53988	28.29377	25.95877
48.33553	41.33034	21.45608
49.13117	51.51283	6.208805
49.92682	49.72023	-13.64278
50.72247	36.48789	-25.7879
51.51811	22.99253	-26.97745
52.31376	15.34861	-24.00372
53.1094	10.65134	-20.57068
53.90505	8.019566	-17.89065
54.7007	6.358408	-15.98125
55.49634	4.64421	-14.02495
56.29199	3.479539	-12.2285
57.08764	2.977265	-11.05486
57.88328	2.680945	-9.96324
58.67893	2.353411	-8.808772
59.47458	1.999349	-8.017453
60.27022	1.66901	-7.506842
61.06587	1.413544	-7.006765
61.86152	1.306506	-6.537292
62.65716	1.253861	-5.998582
63.45281	1.127036	-5.554066
64.24846	0.9822718	-5.085658
65.0441	0.8944374	-4.665854
65.83975	0.8553969	-4.369983
66.6354	0.8534931	-4.014101
67.43104	0.8303066	-3.703856
68.22669	0.7514062	-3.401089
69.02233	0.685395	-3.191235
69.81798	0.7020004	-3.018635
70.61363	0.6596393	-2.794654
71.40927	0.529237	-2.578382
72.20492	0.5831721	-2.291121
73.00057	0.6547257	-2.065316
73.79621	0.5512516	-1.94114
74.59186	0.4090568	-1.681934
75.38751	0.4948272	-1.535655
76.18315	0.5367747	-1.465865
76.9788	0.4388397	-1.264317
77.77445	0.4264251	-1.077611
78.57009	0.4620202	-0.9490645
79.36574	0.5320356	-0.8405073
80.16139	0.5039455	-0.7097307
80.95703	0.4334687	-0.5647207
81.75268	0.4258442	-0.4397549
82.54833	0.4622506	-0.3120482
83.34397	0.4783141	-0.1631604
84.13962	0.4449431	-0.01428848
84.93527	0.4039551	0.02611536
85.73091	0.4194457	0.09832445
86.52656	0.4320932	0.2750196
87.3222	0.4521929	0.4548061
88.11785	0.5239657	0.5754154
88.9135	0.5313561	0.6426862
89.70914	0.4449369	0.719358
90.50479	0.3689488	0.851388
91.30044	0.4272335	1.00654
92.09608	0.4616922	1.108957
92.89173	0.4126782	1.150804
93.68738	0.4005791	1.265706
94.48302	0.4693658	1.460885
95.27867	0.5582342	1.527523
96.07432	0.5406783	1.561143
96.86996	0.4688428	1.674878
97.66561	0.5039814	1.797191
98.46126	0.4836308	1.902626
99.2569	0.3307985	2.08707
100.0525	0.41027	2.175937
100.8482	0.523327	2.244332
101.6438	0.5236159	2.351889
102.4395	0.4950687	2.455866
103.2351	0.518246	2.679375
104.0308	0.5452688	2.765141
104.8264	0.5489748	2.846589
105.6221	0.6038705	3.008784
106.4177	0.6211851	3.077577
107.2134	0.6635264	3.10566
108.009	0.6701893	3.192129
108.8047	0.6800389	3.379004
109.6003	0.6754477	3.508073
110.396	0.6994261	3.628091
111.1916	0.7289018	3.755407
111.9872	0.7472403	3.874761
112.7829	0.7642676	4.050505
113.5785	0.7690792	4.216831
114.3742	0.7513614	4.320309
115.1698	0.7839432	4.40528
115.9655	0.89983	4.582116
116.7611	0.949805	4.824171
117.5568	0.9031966	4.996937
118.3524	0.9308872	5.097894
119.1481	1.037572	5.305793
119.9437	1.073559	5.547282
120.7394	1.087018	5.722273
121.535	1.145375	5.895022
122.3307	1.197714	6.106037
123.1263	1.270973	6.360035
123.9219	1.389884	6.622644
124.7176	1.449001	6.884731
125.5132	1.491515	7.139812
126.3089	1.603893	7.411076
127.1045	1.757426	7.744465
127.9002	1.90504	8.089574
128.6958	2.017482	8.417874
129.4915	2.187681	8.803524
130.2871	2.432395	9.22451
131.0828	2.679601	9.679006
131.8784	2.945204	10.20257
132.6741	3.233631	10.75941
133.4697	3.634834	11.32982
134.2653	4.11454	11.98594
135.061	4.722002	12.70811
135.8566	5.439014	13.45925
136.6523	6.367026	14.27032
137.4479	7.542708	15.22277
138.2436	9.084119	16.24351
139.0392	11.01378	17.13245
139.8349	13.49653	17.94489
140.6305	16.78242	18.43066
141.4262	20.92372	18.09367
142.2218	25.59414	15.99696
143.0175	30.09873	11.88634
143.8131	33.08869	5.583936
144.6088	33.06947	-1.649932
145.4044	30.18757	-8.18616
146.2	25.70218	-12.21357
146.9957	21.1299	-14.32149
147.7913	16.78201	-14.84389
148.587	13.24742	-14.27499
149.3826	10.44613	-13.23476
150.1783	8.709245	-12.18183
150.9739	7.337988	-11.29414
151.7696	6.153884	-10.27432
152.5652	5.225819	-9.413784
153.3609	4.453365	-8.593916
154.1565	3.940947	-7.865095
154.9522	3.384807	-7.158888
