position_mm	diameter_mm
0	14.9
5	14.889
10	14.878
15	14.868
20	14.857
25	14.846
30	14.835
35	14.825
40	14.814
45	14.803
50	14.792
55	14.782
60	14.771
65	14.76
70	14.749
75	14.738
80	14.728
85	14.717
90	14.706
95	14.695
100	14.685
105	14.674
110	14.663
115	14.652
120	14.642
125	14.631
130	14.62
135	14.609
140	14.598
145	14.588
150	14.577
155	14.566
160	14.555
165	14.545
170	14.534
175	14.523
180	14.512
185	14.502
190	14.491
195	14.48
200	14.469
205	14.458
210	14.448
215	14.437
220	14.426
225	14.415
230	14.405
235	14.394
240	14.383
245	14.372
250	14.362
255	14.351
260	14.34
265	14.329
270	14.318
275	14.308
280	14.297
285	14.286
290	14.275
295	14.265
300	14.254
305	14.243
310	14.232
315	14.222
320	14.211
325	14.2
330	14.189
335	14.178
340	14.168
345	14.157
350	14.146
355	14.135
360	14.125
365	14.114
370	14.103
375	14.092
380	14.082
385	14.071
390	14.06
395	14.049
400	14.038
405	14.028
410	14.017
415	14.006
420	13.995
425	13.985
430	13.974
435	13.963
440	13.952
445	13.942
450	13.931
455	13.92
460	13.909
465	13.898
470	13.888
475	13.877
480	13.866
485	13.855
490	13.845
495	13.834
500	13.823
505	13.812
510	13.802
515	13.791
520	13.78
525	13.769
530	13.758
535	13.748
540	13.737
545	13.726
550	13.715
555	13.705
560	13.694
565	13.683
570	13.672
575	13.662
580	13.651
585	13.64
590	13.629
595	13.618
600	13.608
605	13.797
610	13.986
615	14.175
620	14.365
625	14.554
630	14.743
635	14.932
640	15.122
645	15.311
650	15.5
